"fold"	"mol_prop"	"split_type"	"sim_type"	"sim"
3	" BBBP"	"Scaffold"	" Training vs Validation"	0.349391954450919
4	" BBBP"	"Scaffold"	" Training vs Validation"	0.481663633009483
5	" BBBP"	"Scaffold"	" Training vs Validation"	0.472023791133477
6	" BBBP"	"Scaffold"	" Training vs Validation"	0.472152893986608
7	" BBBP"	"Scaffold"	" Training vs Validation"	0.493957890445376
8	" BBBP"	"Scaffold"	" Training vs Validation"	0.53416126386579
9	" BBBP"	"Scaffold"	" Training vs Validation"	0.461612794273005
10	" BBBP"	"Scaffold"	" Training vs Validation"	0.531131265712489
11	" BBBP"	"Scaffold"	" Training vs Validation"	0.334360844414369
12	" BBBP"	"Scaffold"	" Training vs Validation"	0.49619993431668
13	" BBBP"	"Scaffold"	" Training vs Validation"	0.485711041782877
14	" BBBP"	"Scaffold"	" Training vs Validation"	0.513483189596918
15	" BBBP"	"Scaffold"	" Training vs Validation"	0.4658432689867
16	" BBBP"	"Scaffold"	" Training vs Validation"	0.321168788199501
17	" BBBP"	"Scaffold"	" Training vs Validation"	0.468556565090353
18	" BBBP"	"Scaffold"	" Training vs Validation"	0.347610465356429
19	" BBBP"	"Scaffold"	" Training vs Validation"	0.50699373595233
20	" BBBP"	"Scaffold"	" Training vs Validation"	0.47754973444739
21	" BBBP"	"Scaffold"	" Training vs Validation"	0.483528974975271
22	" BBBP"	"Scaffold"	" Training vs Validation"	0.45271452681478
23	" BBBP"	"Scaffold"	" Training vs Validation"	0.509683660575615
24	" BBBP"	"Scaffold"	" Training vs Validation"	0.492415389954457
25	" BBBP"	"Scaffold"	" Training vs Validation"	0.49489596508113
26	" BBBP"	"Scaffold"	" Training vs Validation"	0.486758994645086
27	" BBBP"	"Scaffold"	" Training vs Validation"	0.48509787434134
28	" BBBP"	"Scaffold"	" Training vs Validation"	0.452230222046082
29	" BBBP"	"Scaffold"	" Training vs Validation"	0.482734112463561
